출발구,도착구,전입자수
동작구,관악구,2116
송파구,강동구,2099
관악구,동작구,1897
양천구,강서구,1863
강서구,양천구,1690
강남구,송파구,1674
강남구,서초구,1526
관악구,영등포구,1468
관악구,강서구,1448
관악구,금천구,1435
서대문구,마포구,1414
서초구,강남구,1389
영등포구,강서구,1313
강동구,송파구,1180
마포구,서대문구,1161
관악구,구로구,1117
서대문구,은평구,1106
관악구,송파구,1101
강남구,관악구,1092
송파구,강남구,1080
동작구,영등포구,1073
광진구,중랑구,1029
관악구,강남구,1014
마포구,강서구,991
성북구,강북구,968
마포구,은평구,956
서초구,관악구,953
강북구,도봉구,940
영등포구,구로구,932
서초구,동작구,917
영등포구,관악구,910
관악구,서초구,892
강서구,영등포구,875
관악구,마포구,844
도봉구,강북구,839
성동구,광진구,831
성북구,동대문구,826
구로구,관악구,810
노원구,중랑구,805
광진구,송파구,798
마포구,영등포구,796
동대문구,중랑구,787
성동구,동대문구,785
영등포구,동작구,779
동대문구,성북구,779
강북구,성북구,775
금천구,관악구,771
구로구,영등포구,770
관악구,광진구,750
동작구,강서구,745
광진구,강동구,742
구로구,금천구,732
은평구,서대문구,730
서초구,송파구,724
노원구,도봉구,721
강남구,광진구,719
송파구,관악구,703
송파구,광진구,700
강서구,관악구,694
구로구,강서구,692
중랑구,노원구,683
도봉구,노원구,679
마포구,관악구,679
영등포구,마포구,675
동작구,서초구,674
노원구,성북구,660
광진구,성동구,656
강남구,성동구,654
용산구,마포구,651
마포구,용산구,650
영등포구,양천구,639
광진구,관악구,627
금천구,구로구,617
중랑구,광진구,615
관악구,강동구,603
성북구,노원구,599
양천구,영등포구,593
광진구,동대문구,590
관악구,양천구,583
은평구,마포구,580
성북구,관악구,580
서대문구,관악구,578
강남구,동작구,575
관악구,은평구,562
서대문구,강서구,557
동대문구,성동구,555
강서구,마포구,541
중랑구,동대문구,537
종로구,성북구,536
동작구,송파구,535
강남구,영등포구,527
강서구,구로구,522
동작구,구로구,515
송파구,서초구,514
은평구,강서구,509
영등포구,금천구,507
양천구,구로구,503
관악구,용산구,502
동작구,강남구,501
강동구,광진구,496
동작구,금천구,490
동대문구,광진구,489
동대문구,관악구,477
서대문구,영등포구,475
강남구,강동구,473
노원구,강북구,465
관악구,성북구,462
