출발구,도착구,전입자수
송파구,강남구,7879
서초구,강남구,7185
강남구,서초구,5857
양천구,강서구,5426
강남구,송파구,5418
강서구,양천구,5269
송파구,강동구,5170
강동구,송파구,4407
관악구,동작구,4223
동작구,관악구,3973
동작구,서초구,3919
서대문구,은평구,3737
서초구,동작구,3388
마포구,서대문구,3050
서대문구,마포구,3012
강북구,도봉구,3009
마포구,은평구,2887
은평구,서대문구,2852
동작구,영등포구,2821
성북구,강북구,2812
성북구,동대문구,2664
도봉구,노원구,2641
성동구,강남구,2625
중랑구,노원구,2617
성동구,동대문구,2585
영등포구,양천구,2514
영등포구,동작구,2494
강북구,성북구,2449
관악구,금천구,2441
영등포구,강서구,2415
영등포구,구로구,2411
광진구,중랑구,2380
관악구,영등포구,2356
노원구,도봉구,2273
노원구,중랑구,2260
관악구,서초구,2221
도봉구,강북구,2199
성동구,광진구,2176
성북구,노원구,2149
구로구,양천구,2131
동대문구,성북구,2122
강남구,성동구,2109
동대문구,중랑구,2080
관악구,강남구,2078
강서구,영등포구,2064
용산구,마포구,2064
광진구,송파구,2053
관악구,송파구,2013
양천구,영등포구,2000
양천구,구로구,1954
관악구,구로구,1921
노원구,성북구,1916
송파구,서초구,1909
서초구,관악구,1903
서초구,송파구,1870
동작구,강남구,1856
강동구,강남구,1840
관악구,강서구,1822
은평구,마포구,1808
구로구,영등포구,1797
광진구,강동구,1783
중랑구,동대문구,1783
마포구,강남구,1739
영등포구,마포구,1726
마포구,영등포구,1668
송파구,광진구,1663
용산구,서초구,1643
강남구,광진구,1640
금천구,관악구,1627
용산구,강남구,1620
영등포구,관악구,1600
광진구,강남구,1581
광진구,동대문구,1564
강남구,관악구,1551
광진구,성동구,1515
강서구,은평구,1499
마포구,강서구,1491
강남구,동작구,1490
종로구,성북구,1462
성동구,송파구,1461
중랑구,광진구,1447
영등포구,강남구,1426
동대문구,성동구,1414
마포구,용산구,1410
성동구,서초구,1377
강서구,마포구,1362
금천구,구로구,1348
강북구,노원구,1342
강동구,광진구,1312
구로구,강서구,1308
강남구,강동구,1297
강서구,구로구,1277
구로구,금천구,1273
마포구,서초구,1258
구로구,관악구,1245
노원구,동대문구,1242
강남구,용산구,1220
동작구,송파구,1219
영등포구,서초구,1200
동대문구,노원구,1191
성북구,도봉구,1186
양천구,강남구,1182
송파구,동대문구,1174
관악구,마포구,1173
송파구,성동구,1160
마포구,양천구,1153
동작구,강서구,1130
서초구,용산구,1127
노원구,강북구,1107
강서구,강남구,1105
동대문구,강남구,1103
도봉구,성북구,1103
성북구,종로구,1093
동작구,구로구,1092
성북구,강남구,1080
중구,성동구,1080
강서구,관악구,1075
동대문구,광진구,1075
노원구,강남구,1063
강남구,마포구,1058
강남구,동대문구,1054
관악구,광진구,1048
강남구,영등포구,1038
관악구,은평구,1035
영등포구,송파구,1034
종로구,서대문구,1025
마포구,송파구,1013
양천구,마포구,1012
송파구,관악구,1001
성동구,중구,995
성북구,중랑구,990
용산구,동작구,982
송파구,동작구,962
영등포구,은평구,958
강서구,송파구,957
송파구,강서구,953
서대문구,종로구,942
동대문구,송파구,942
서대문구,강남구,939
은평구,강서구,926
관악구,양천구,922
강서구,동작구,921
관악구,강동구,915
성북구,성동구,907
마포구,관악구,907
용산구,중구,901
용산구,성동구,900
서초구,성동구,897
송파구,마포구,897
동작구,마포구,896
마포구,동작구,871
성동구,중랑구,868
구로구,동작구,868
용산구,영등포구,866
서초구,영등포구,864
강남구,강서구,861
용산구,서대문구,855
금천구,영등포구,855
광진구,노원구,852
중랑구,강동구,851
영등포구,금천구,848
강동구,동대문구,847
노원구,송파구,841
영등포구,서대문구,831
성북구,은평구,825
종로구,은평구,819
강서구,서대문구,819
성북구,송파구,818
동작구,용산구,815
서대문구,강서구,815
동작구,양천구,809
광진구,관악구,807
서대문구,영등포구,803
동대문구,강동구,799
송파구,영등포구,798
성동구,성북구,795
성동구,강동구,794
강서구,서초구,792
용산구,은평구,789
서초구,마포구,785
성북구,마포구,773
종로구,동대문구,769
성북구,관악구,764
노원구,광진구,757
양천구,은평구,750
강동구,중랑구,744
중구,동대문구,737
동작구,금천구,736
관악구,서대문구,731
중구,강남구,727
중랑구,성북구,726
관악구,중랑구,725
영등포구,용산구,724
서대문구,관악구,721
관악구,동대문구,721
양천구,서초구,716
은평구,강남구,716
송파구,노원구,715
양천구,동작구,712
관악구,용산구,712
강남구,서대문구,711
마포구,중구,704
중랑구,송파구,703
동작구,은평구,699
노원구,강동구,697
용산구,송파구,691
은평구,영등포구,690
종로구,강남구,686
강남구,성북구,680
동작구,광진구,677
성동구,용산구,674
강북구,동대문구,674
서대문구,서초구,673
강남구,중구,669
동대문구,관악구,669
광진구,서초구,669
송파구,성북구,667
성북구,광진구,665
영등포구,동대문구,662
송파구,중랑구,661
용산구,성북구,659
관악구,성북구,656
구로구,강남구,655
은평구,관악구,652
강동구,노원구,647
서초구,광진구,646
서초구,강서구,645
용산구,관악구,644
동작구,강동구,643
양천구,관악구,639
관악구,성동구,631
성동구,마포구,630
금천구,강서구,627
강서구,강동구,625
도봉구,동대문구,623
성북구,강서구,623
서대문구,양천구,623
서초구,강동구,623
강동구,서초구,622
동대문구,영등포구,620
은평구,송파구,620
종로구,마포구,620
서대문구,송파구,619
송파구,서대문구,619
성북구,서대문구,617
서대문구,용산구,616
