출발구,도착구,전입자수
송파구,강동구,11528
강서구,양천구,8360
강남구,송파구,7784
서초구,강남구,7718
양천구,강서구,7717
강남구,서초구,7556
송파구,강남구,6072
서대문구,은평구,6034
관악구,동작구,5913
동작구,관악구,5408
동작구,영등포구,5291
마포구,서대문구,5277
서초구,동작구,4805
강동구,송파구,4782
성북구,강북구,4666
강북구,도봉구,4444
도봉구,노원구,4284
마포구,은평구,4218
동작구,서초구,4134
은평구,서대문구,4130
서대문구,마포구,4042
강북구,성북구,3935
동대문구,중랑구,3874
노원구,도봉구,3850
광진구,강동구,3837
구로구,양천구,3814
광진구,중랑구,3736
관악구,영등포구,3571
도봉구,강북구,3543
중랑구,노원구,3527
구로구,영등포구,3504
양천구,영등포구,3362
노원구,중랑구,3360
영등포구,구로구,3301
영등포구,양천구,3275
성동구,동대문구,3145
강서구,영등포구,3129
관악구,금천구,3096
성북구,노원구,3092
동대문구,성북구,3064
강남구,성동구,3030
영등포구,강서구,3004
강남구,강동구,2891
영등포구,동작구,2826
양천구,구로구,2816
서초구,송파구,2812
노원구,성북구,2789
성동구,광진구,2786
서초구,관악구,2702
광진구,송파구,2672
관악구,서초구,2625
성북구,동대문구,2560
관악구,구로구,2501
용산구,마포구,2472
마포구,용산구,2371
성동구,강남구,2368
마포구,영등포구,2341
은평구,마포구,2267
중랑구,동대문구,2243
강남구,용산구,2226
관악구,강서구,2215
송파구,광진구,2163
마포구,강서구,2143
서초구,용산구,2117
강남구,관악구,2107
강북구,노원구,2105
송파구,서초구,2101
종로구,성북구,2100
강남구,광진구,2073
성동구,강동구,2029
관악구,강남구,2004
관악구,송파구,1984
금천구,관악구,1980
중랑구,광진구,1980
영등포구,마포구,1962
성북구,도봉구,1960
성동구,송파구,1848
동대문구,강동구,1839
노원구,강북구,1834
강남구,동작구,1824
광진구,동대문구,1822
영등포구,관악구,1818
강서구,구로구,1801
동대문구,성동구,1792
광진구,성동구,1758
강서구,마포구,1757
구로구,관악구,1745
구로구,금천구,1729
금천구,구로구,1717
성북구,종로구,1676
노원구,강동구,1663
중랑구,강동구,1634
동대문구,노원구,1630
구로구,강서구,1618
강서구,은평구,1591
종로구,서대문구,1570
도봉구,성북구,1568
성동구,중랑구,1551
송파구,성동구,1550
동작구,강남구,1550
성동구,중구,1549
동대문구,광진구,1543
서초구,성동구,1478
서초구,영등포구,1471
동작구,송파구,1466
광진구,강남구,1466
동작구,구로구,1464
마포구,양천구,1460
관악구,강동구,1457
서초구,강동구,1443
용산구,강남구,1433
동작구,강서구,1433
송파구,관악구,1431
관악구,마포구,1428
용산구,서초구,1412
강동구,광진구,1409
중구,성동구,1406
강남구,영등포구,1392
금천구,영등포구,1367
성동구,서초구,1366
종로구,은평구,1364
강서구,관악구,1357
관악구,양천구,1332
강남구,마포구,1326
마포구,강남구,1318
마포구,서초구,1312
노원구,동대문구,1307
성북구,중랑구,1295
양천구,마포구,1283
관악구,광진구,1257
강서구,서대문구,1249
강동구,강남구,1247
송파구,영등포구,1231
영등포구,서초구,1228
서초구,마포구,1222
관악구,은평구,1213
서대문구,종로구,1212
성북구,강동구,1209
성동구,성북구,1201
용산구,서대문구,1200
영등포구,서대문구,1195
용산구,영등포구,1185
노원구,송파구,1178
강서구,강동구,1173
성북구,은평구,1168
동작구,마포구,1166
동작구,강동구,1154
강남구,중랑구,1152
은평구,강서구,1138
동작구,용산구,1133
마포구,송파구,1133
중랑구,성북구,1110
마포구,관악구,1110
구로구,동작구,1108
영등포구,금천구,1095
동대문구,송파구,1093
양천구,강남구,1085
강남구,강서구,1075
서대문구,영등포구,1060
강서구,동작구,1060
강서구,송파구,1059
영등포구,송파구,1055
영등포구,강남구,1042
광진구,노원구,1034
송파구,마포구,1032
강남구,동대문구,1030
송파구,동대문구,1029
송파구,강서구,1022
강동구,중랑구,1017
성동구,용산구,1017
성북구,송파구,1010
송파구,중랑구,1006
노원구,광진구,1005
서대문구,강서구,996
동작구,금천구,995
성북구,성동구,989
양천구,관악구,989
성북구,마포구,984
송파구,동작구,982
영등포구,은평구,981
용산구,동작구,967
용산구,은평구,967
동작구,양천구,966
강남구,서대문구,966
성북구,강남구,963
동대문구,강북구,960
광진구,관악구,943
강서구,강남구,940
마포구,강동구,939
강남구,성북구,931
영등포구,용산구,926
성동구,마포구,925
노원구,강남구,925
영등포구,강동구,924
용산구,중구,916
성북구,서대문구,900
관악구,서대문구,893
마포구,동작구,885
관악구,용산구,880
서대문구,관악구,875
성동구,영등포구,875
동대문구,강남구,875
송파구,노원구,866
서초구,강서구,863
서초구,광진구,856
구로구,마포구,854
관악구,중랑구,851
성북구,관악구,847
중구,용산구,847
양천구,은평구,841
은평구,관악구,841
동대문구,도봉구,834
서대문구,양천구,831
중랑구,송파구,829
송파구,용산구,828
은평구,영등포구,825
강서구,서초구,824
양천구,송파구,818
강남구,중구,813
강남구,노원구,810
중구,성북구,806
은평구,종로구,804
노원구,성동구,801
성북구,영등포구,800
서대문구,강남구,798
마포구,구로구,797
양천구,서대문구,794
용산구,성동구,791
도봉구,중랑구,786
중랑구,도봉구,786
중구,강남구,780
성북구,용산구,777
송파구,성북구,777
송파구,서대문구,775
관악구,성북구,774
성북구,광진구,774
은평구,양천구,770
용산구,관악구,769
양천구,서초구,760
중구,서대문구,758
강동구,동대문구,757
은평구,강동구,755
중구,마포구,754
용산구,강서구,754
관악구,성동구,750
강북구,동대문구,748
성동구,노원구,747
은평구,성북구,746
마포구,성동구,745
양천구,동작구,744
성동구,은평구,741
종로구,마포구,740
종로구,동대문구,735
동대문구,관악구,732
동대문구,은평구,730
강동구,성동구,728
서대문구,용산구,726
관악구,동대문구,726
동작구,서대문구,726
강남구,은평구,721
양천구,강동구,718
광진구,성북구,714
동작구,은평구,711
동대문구,영등포구,709
동작구,광진구,707
용산구,송파구,705
종로구,강남구,702
성북구,서초구,702
노원구,마포구,700
노원구,관악구,699
강동구,노원구,699
금천구,동작구,693
마포구,성북구,693
서대문구,송파구,693
중랑구,성동구,692
도봉구,강동구,692
용산구,성북구,690
서초구,서대문구,690
송파구,은평구,687
성동구,관악구,687
강남구,종로구,686
서초구,성북구,680
강동구,관악구,680
구로구,강동구,679
서대문구,강동구,679
강북구,중랑구,679
노원구,은평구,679
서초구,은평구,678
서초구,중구,671
광진구,서초구,670
성북구,중구,670
성북구,강서구,668
관악구,노원구,667
강서구,용산구,666
중구,동대문구,662
송파구,양천구,661
서대문구,성북구,661
은평구,강남구,661
금천구,강서구,658
서초구,양천구,653
마포구,중구,650
중구,종로구,649
종로구,용산구,648
구로구,강남구,647
도봉구,동대문구,645
성동구,서대문구,644
서대문구,서초구,643
중랑구,강북구,642
금천구,양천구,642
광진구,영등포구,641
은평구,송파구,640
구로구,은평구,636
구로구,서대문구,634
노원구,영등포구,633
동대문구,종로구,629
동대문구,서대문구,620
강동구,영등포구,619
동대문구,마포구,617
강북구,은평구,614
