출발구,도착구,전입자수
송파구,강동구,2416
동작구,관악구,2309
관악구,동작구,2106
양천구,강서구,1997
강서구,양천구,1938
강남구,송파구,1821
서초구,강남구,1677
강남구,서초구,1598
관악구,영등포구,1596
관악구,금천구,1453
영등포구,강서구,1412
서대문구,마포구,1407
마포구,서대문구,1392
관악구,강서구,1369
서대문구,은평구,1336
동작구,영등포구,1284
송파구,강남구,1181
관악구,구로구,1157
마포구,은평구,1154
관악구,송파구,1137
강동구,송파구,1091
강서구,영등포구,1072
광진구,중랑구,1053
성북구,강북구,1053
관악구,강남구,1048
강남구,관악구,1045
강북구,도봉구,978
영등포구,구로구,967
서초구,동작구,963
마포구,강서구,960
서초구,관악구,955
관악구,서초구,952
관악구,마포구,922
광진구,강동구,916
동대문구,중랑구,909
영등포구,관악구,890
관악구,광진구,885
마포구,영등포구,869
구로구,영등포구,867
도봉구,강북구,865
성동구,동대문구,862
광진구,송파구,848
서초구,송파구,847
강북구,성북구,842
동대문구,성북구,837
구로구,관악구,826
성동구,광진구,823
금천구,관악구,819
은평구,서대문구,818
성북구,동대문구,814
도봉구,노원구,813
노원구,중랑구,810
영등포구,동작구,805
중랑구,노원구,790
영등포구,마포구,765
강서구,관악구,752
구로구,금천구,747
마포구,관악구,730
송파구,관악구,727
강남구,성동구,721
송파구,광진구,699
영등포구,양천구,697
강남구,광진구,691
은평구,마포구,687
동작구,강서구,682
마포구,용산구,674
용산구,마포구,670
노원구,도봉구,662
동작구,서초구,658
중랑구,광진구,657
구로구,강서구,653
노원구,성북구,646
관악구,은평구,642
강서구,마포구,631
광진구,성동구,618
광진구,관악구,613
양천구,영등포구,611
강남구,동작구,609
관악구,강동구,607
성북구,노원구,606
광진구,동대문구,601
강서구,구로구,598
금천구,구로구,591
종로구,성북구,568
서대문구,관악구,551
동대문구,성동구,550
관악구,양천구,547
성북구,관악구,547
중랑구,동대문구,546
강남구,강동구,544
동대문구,광진구,528
강북구,노원구,523
구로구,양천구,505
동대문구,관악구,504
노원구,강북구,499
송파구,성동구,494
양천구,구로구,493
성동구,송파구,489
강동구,광진구,489
동작구,송파구,488
서대문구,강서구,488
동작구,구로구,486
관악구,중랑구,486
강서구,은평구,485
은평구,관악구,485
강남구,영등포구,480
송파구,서초구,480
강남구,마포구,477
동작구,강남구,475
강남구,용산구,470
광진구,강남구,468
관악구,서대문구,462
서대문구,영등포구,458
금천구,영등포구,455
송파구,영등포구,451
성동구,강남구,445
송파구,강서구,443
성북구,도봉구,442
강남구,강서구,442
동작구,마포구,439
은평구,강서구,437
동작구,금천구,436
서초구,영등포구,435
관악구,성동구,434
송파구,마포구,433
성동구,관악구,431
영등포구,금천구,431
관악구,용산구,429
성북구,마포구,423
관악구,성북구,418
성동구,중랑구,411
서초구,마포구,410
구로구,동작구,409
노원구,광진구,408
마포구,송파구,406
용산구,관악구,405
동대문구,강동구,405
송파구,동작구,404
성북구,중랑구,403
도봉구,성북구,402
마포구,강남구,401
관악구,동대문구,398
강서구,동작구,397
동대문구,노원구,396
영등포구,송파구,395
양천구,관악구,393
성북구,종로구,390
노원구,관악구,389
서초구,용산구,388
동작구,광진구,385
강남구,동대문구,385
영등포구,서대문구,384
강서구,송파구,379
성동구,강동구,377
마포구,동작구,377
성북구,은평구,371
서초구,성동구,369
중랑구,강동구,366
용산구,영등포구,366
마포구,서초구,365
강서구,서대문구,356
노원구,동대문구,355
성동구,영등포구,355
성북구,영등포구,350
동대문구,송파구,349
송파구,동대문구,349
광진구,노원구,347
마포구,성동구,347
마포구,양천구,347
동작구,용산구,344
성북구,성동구,344
강동구,관악구,342
강남구,서대문구,342
성동구,마포구,340
영등포구,은평구,340
용산구,강남구,339
양천구,마포구,339
영등포구,강남구,338
용산구,서대문구,338
중구,성동구,337
성동구,성북구,336
강북구,관악구,336
중랑구,관악구,335
광진구,동작구,334
광진구,영등포구,334
성북구,송파구,332
종로구,은평구,332
노원구,송파구,330
강남구,성북구,329
중랑구,성북구,326
종로구,서대문구,325
구로구,마포구,323
강남구,중랑구,322
광진구,강서구,322
동대문구,마포구,321
성동구,중구,321
강서구,강남구,321
성북구,강서구,320
동대문구,영등포구,319
서초구,강서구,319
용산구,동작구,318
성북구,광진구,317
은평구,영등포구,316
송파구,중랑구,315
성북구,강남구,314
동대문구,강남구,314
강동구,강남구,311
관악구,노원구,311
강서구,강동구,309
동대문구,강서구,304
금천구,강서구,303
노원구,강동구,299
성북구,서대문구,299
송파구,서대문구,296
동대문구,강북구,295
성북구,용산구,295
마포구,구로구,291
동작구,양천구,290
영등포구,서초구,289
강서구,금천구,287
서초구,광진구,287
동작구,은평구,286
동작구,강동구,285
마포구,광진구,284
용산구,강서구,283
은평구,성북구,282
서초구,강동구,281
서대문구,강남구,280
서대문구,송파구,279
광진구,마포구,279
송파구,노원구,278
노원구,강남구,276
성북구,동작구,276
관악구,강북구,275
동작구,서대문구,273
송파구,성북구,272
영등포구,용산구,270
용산구,서초구,269
강동구,중랑구,268
동작구,성북구,266
성동구,용산구,265
광진구,성북구,264
중구,마포구,264
마포구,성북구,263
성동구,서초구,261
송파구,용산구,261
중랑구,송파구,261
종로구,마포구,260
동대문구,은평구,260
서대문구,동작구,258
용산구,성동구,258
용산구,은평구,257
노원구,강서구,257
동대문구,동작구,256
송파구,은평구,256
강동구,동대문구,256
마포구,강동구,255
성북구,강동구,254
금천구,동작구,253
영등포구,강동구,251
서초구,동대문구,251
관악구,종로구,250
서대문구,용산구,248
도봉구,관악구,246
강서구,성북구,245
서대문구,성북구,244
은평구,동작구,244
노원구,마포구,244
종로구,동대문구,243
강남구,노원구,243
광진구,서초구,242
강북구,중랑구,242
용산구,송파구,241
도봉구,중랑구,240
강동구,영등포구,239
영등포구,광진구,236
성북구,중구,235
동작구,동대문구,232
마포구,동대문구,231
중구,성북구,231
강서구,노원구,229
강서구,서초구,228
은평구,강남구,228
동작구,성동구,227
노원구,동작구,227
강북구,동대문구,226
동작구,노원구,226
강동구,강서구,226
강동구,성동구,226
영등포구,성동구,225
동대문구,도봉구,225
용산구,성북구,225
서초구,서대문구,224
성북구,서초구,223
양천구,동작구,223
강남구,중구,222
마포구,노원구,222
광진구,은평구,222
동작구,중랑구,221
서대문구,종로구,221
은평구,송파구,220
노원구,성동구,220
성동구,동작구,220
양천구,송파구,220
중랑구,성동구,220
성동구,강서구,218
종로구,관악구,218
영등포구,동대문구,218
서대문구,광진구,218
강북구,광진구,217
강남구,은평구,217
양천구,은평구,216
구로구,송파구,216
성동구,은평구,213
성동구,서대문구,213
용산구,중구,213
중구,동대문구,212
중랑구,강북구,211
노원구,영등포구,211
강동구,노원구,211
동대문구,서대문구,209
강서구,광진구,208
송파구,구로구,208
송파구,양천구,208
중랑구,도봉구,208
구로구,은평구,208
마포구,중구,208
양천구,강남구,207
서대문구,동대문구,207
은평구,동대문구,207
영등포구,성북구,206
구로구,강남구,206
강서구,동대문구,206
중구,관악구,205
중구,서대문구,205
중구,강남구,205
강동구,동작구,203
서초구,은평구,202
중구,용산구,202
종로구,용산구,201
강북구,강서구,201
양천구,서대문구,199
관악구,중구,199
강서구,용산구,198
은평구,강동구,198
종로구,영등포구,197
중랑구,강서구,197
성북구,구로구,197
용산구,광진구,197
노원구,은평구,195
동대문구,종로구,195
서초구,성북구,195
강북구,은평구,195
강남구,구로구,194
서대문구,서초구,193
중랑구,강남구,192
성동구,노원구,192
구로구,서대문구,191
서대문구,강동구,191
도봉구,동대문구,190
동대문구,중구,189
광진구,서대문구,189
종로구,강남구,187
서대문구,양천구,186
강남구,종로구,186
강남구,양천구,186
성동구,강북구,184
은평구,노원구,184
은평구,광진구,183
은평구,양천구,183
중랑구,영등포구,181
중랑구,은평구,181
마포구,금천구,180
서초구,중구,179
서초구,구로구,179
광진구,용산구,178
강서구,성동구,178
광진구,구로구,177
종로구,강북구,177
관악구,도봉구,177
중구,종로구,175
노원구,서대문구,175
은평구,구로구,174
마포구,중랑구,174
광진구,강북구,173
용산구,동대문구,173
중구,영등포구,173
마포구,종로구,172
양천구,금천구,172
동대문구,용산구,171
은평구,용산구,171
강동구,성북구,170
서대문구,구로구,170
중구,광진구,169
강북구,영등포구,169
은평구,성동구,169
중구,은평구,169
도봉구,광진구,169
종로구,중구,167
서대문구,성동구,167
동대문구,서초구,167
강동구,마포구,162
금천구,양천구,161
강북구,송파구,161
강북구,마포구,161
중랑구,마포구,160
강서구,중랑구,160
구로구,강동구,157
영등포구,중랑구,156
동대문구,구로구,156
종로구,서초구,154
강동구,서초구,153
중랑구,동작구,153
광진구,금천구,152
용산구,구로구,152
도봉구,송파구,152
양천구,강동구,151
송파구,종로구,150
서초구,노원구,150
구로구,서초구,150
은평구,종로구,149
강북구,동작구,148
강남구,금천구,148
서초구,양천구,148
성북구,양천구,148
영등포구,노원구,147
송파구,중구,147
양천구,서초구,147
종로구,송파구,147
강북구,강남구,145
종로구,동작구,145
은평구,서초구,145
구로구,성북구,145
금천구,강남구,145
강동구,은평구,144
성동구,구로구,144
은평구,금천구,144
강북구,성동구,144
금천구,송파구,144
도봉구,강서구,143
강북구,강동구,143
은평구,중랑구,143
서대문구,중구,142
송파구,금천구,142
종로구,강서구,140
도봉구,강동구,140
중구,송파구,140
노원구,용산구,140
성동구,종로구,139
양천구,동대문구,139
동작구,중구,138
금천구,마포구,138
양천구,성북구,138
구로구,광진구,137
서대문구,강북구,136
노원구,서초구,135
양천구,용산구,135
서초구,종로구,133
노원구,중구,132
양천구,광진구,132
광진구,중구,131
광진구,양천구,131
강서구,강북구,131
은평구,강북구,131
서초구,중랑구,130
서초구,금천구,129
용산구,강동구,129
동대문구,양천구,128
노원구,구로구,128
도봉구,영등포구,127
영등포구,중구,126
도봉구,성동구,125
중구,강서구,124
종로구,성동구,123
동작구,종로구,123
중구,동작구,123
서대문구,노원구,122
구로구,성동구,122
도봉구,마포구,122
강북구,서대문구,122
구로구,용산구,121
마포구,강북구,120
용산구,종로구,120
도봉구,은평구,120
동대문구,금천구,120
도봉구,동작구,119
금천구,은평구,118
중구,서초구,118
종로구,광진구,118
강북구,용산구,118
동작구,강북구,117
구로구,동대문구,117
송파구,강북구,116
성동구,양천구,116
도봉구,강남구,116
서대문구,금천구,115
강남구,강북구,113
중랑구,서초구,113
강북구,종로구,113
강북구,구로구,112
양천구,성동구,112
구로구,노원구,111
중랑구,용산구,110
노원구,금천구,110
강동구,용산구,110
구로구,중랑구,109
광진구,도봉구,108
강서구,종로구,108
영등포구,종로구,108
강동구,서대문구,108
종로구,노원구,107
노원구,양천구,106
용산구,양천구,106
은평구,중구,105
도봉구,서대문구,105
중랑구,금천구,105
용산구,노원구,104
송파구,도봉구,104
강서구,중구,103
서대문구,중랑구,103
강서구,도봉구,103
성북구,금천구,103
중랑구,구로구,102
마포구,도봉구,101
중구,강북구,101
중구,강동구,100
도봉구,용산구,100
종로구,강동구,99
강동구,구로구,99
중랑구,서대문구,96
용산구,중랑구,96
금천구,광진구,96
중구,중랑구,96
노원구,종로구,94
양천구,노원구,94
금천구,강동구,93
종로구,도봉구,93
강동구,강북구,93
동작구,도봉구,92
양천구,종로구,92
용산구,강북구,92
강동구,금천구,91
중구,노원구,90
금천구,서초구,87
강남구,도봉구,87
