출발구,도착구,전입자수
강남구,송파구,5947
양천구,강서구,5681
서초구,강남구,5546
송파구,강동구,5462
강서구,양천구,5270
강남구,서초구,5076
송파구,강남구,4806
동작구,관악구,4444
강동구,송파구,4391
관악구,동작구,3963
서초구,동작구,3809
서대문구,은평구,3740
은평구,서대문구,3575
강북구,성북구,3381
마포구,서대문구,3357
동작구,영등포구,2970
강북구,도봉구,2955
동작구,서초구,2858
서대문구,마포구,2853
성북구,강북구,2852
마포구,은평구,2801
관악구,금천구,2681
도봉구,강북구,2625
영등포구,강서구,2593
광진구,중랑구,2583
영등포구,구로구,2551
노원구,도봉구,2408
노원구,중랑구,2382
중랑구,노원구,2379
동대문구,중랑구,2376
관악구,영등포구,2365
영등포구,양천구,2356
서초구,송파구,2346
영등포구,동작구,2304
성동구,광진구,2275
도봉구,노원구,2260
성동구,동대문구,2255
성북구,동대문구,2251
광진구,송파구,2246
구로구,양천구,2240
관악구,구로구,2158
동대문구,성북구,2152
노원구,성북구,2120
강남구,성동구,2094
서초구,관악구,2087
성동구,강남구,2042
양천구,구로구,2020
관악구,서초구,1939
용산구,마포구,1921
성북구,노원구,1894
구로구,영등포구,1887
관악구,송파구,1880
양천구,영등포구,1864
관악구,강서구,1853
마포구,용산구,1804
광진구,강동구,1785
영등포구,관악구,1784
강남구,관악구,1749
금천구,관악구,1725
종로구,성북구,1723
강서구,영등포구,1722
은평구,마포구,1691
송파구,광진구,1677
중랑구,동대문구,1639
강남구,광진구,1624
마포구,강서구,1592
마포구,영등포구,1591
관악구,강남구,1574
송파구,서초구,1528
중랑구,광진구,1478
광진구,성동구,1446
강서구,구로구,1426
광진구,강남구,1412
구로구,관악구,1411
성동구,송파구,1398
동작구,강남구,1372
영등포구,마포구,1370
금천구,구로구,1368
강남구,용산구,1343
구로구,금천구,1326
강남구,동작구,1323
광진구,동대문구,1309
용산구,강남구,1309
강남구,강동구,1303
송파구,관악구,1300
노원구,강북구,1288
강서구,관악구,1282
강북구,노원구,1279
동대문구,성동구,1251
구로구,강서구,1243
동작구,구로구,1238
강서구,마포구,1234
강서구,은평구,1229
동작구,송파구,1224
도봉구,성북구,1221
종로구,서대문구,1214
