출발구,도착구,전입자수
노원구,동작구,221
노원구,강동구,221
영등포구,강동구,221
종로구,마포구,220
중랑구,강남구,220
강동구,강서구,220
중랑구,성동구,219
성북구,서초구,219
관악구,강북구,218
중구,마포구,218
용산구,송파구,218
서초구,강서구,217
동작구,성북구,216
동대문구,강북구,215
성동구,강동구,215
영등포구,광진구,213
동대문구,서초구,213
강동구,영등포구,213
강서구,광진구,212
동대문구,서대문구,212
강남구,중랑구,211
동작구,성동구,210
송파구,은평구,209
동작구,노원구,209
구로구,강남구,208
성북구,강동구,208
강남구,성북구,207
은평구,동대문구,206
서대문구,동작구,206
중구,성북구,206
강동구,동작구,206
종로구,은평구,206
관악구,종로구,205
중구,동대문구,203
성동구,동작구,203
강서구,중랑구,203
도봉구,동대문구,203
동대문구,도봉구,202
영등포구,성북구,202
관악구,중구,202
송파구,구로구,201
중랑구,동작구,200
강남구,중구,199
중랑구,강서구,198
종로구,영등포구,197
용산구,성북구,197
서대문구,성북구,197
종로구,강남구,196
관악구,도봉구,196
종로구,관악구,195
강남구,은평구,194
송파구,용산구,193
구로구,은평구,193
강서구,성동구,192
서대문구,종로구,192
종로구,중구,191
중랑구,도봉구,191
서초구,서대문구,190
성동구,용산구,189
중랑구,영등포구,189
은평구,동작구,189
서초구,동대문구,188
동작구,서대문구,188
용산구,강서구,186
서대문구,동대문구,185
중구,강남구,185
강동구,성동구,185
금천구,송파구,185
금천구,양천구,185
은평구,구로구,184
성북구,구로구,183
강서구,노원구,183
광진구,서대문구,183
양천구,은평구,181
강북구,은평구,181
은평구,광진구,181
성동구,서대문구,180
동대문구,종로구,180
서대문구,중구,180
서대문구,성동구,178
광진구,용산구,177
서대문구,구로구,176
송파구,중구,176
강남구,종로구,176
노원구,성동구,175
영등포구,중구,175
강동구,노원구,175
중구,송파구,174
은평구,양천구,174
은평구,노원구,173
구로구,서대문구,172
양천구,송파구,172
노원구,은평구,172
영등포구,노원구,171
강서구,성북구,171
강남구,노원구,170
마포구,강동구,170
성동구,강서구,169
은평구,성북구,169
노원구,서대문구,169
금천구,마포구,168
중구,종로구,167
광진구,중구,166
은평구,용산구,166
강북구,광진구,165
용산구,동대문구,165
강남구,구로구,165
중랑구,강북구,164
마포구,금천구,161
구로구,성북구,160
중구,영등포구,160
강북구,송파구,159
서초구,성북구,159
동대문구,용산구,159
동대문구,구로구,159
중구,관악구,159
강동구,마포구,159
마포구,종로구,157
은평구,성동구,156
마포구,노원구,156
중구,용산구,156
서대문구,양천구,155
동작구,중구,154
강동구,은평구,154
은평구,강동구,153
광진구,구로구,153
종로구,용산구,152
은평구,중랑구,152
서대문구,광진구,152
중랑구,은평구,151
강북구,강서구,150
성북구,양천구,150
강북구,강남구,149
양천구,동대문구,149
노원구,서초구,148
중구,광진구,147
성동구,노원구,147
강북구,마포구,147
구로구,광진구,146
영등포구,중랑구,146
서초구,노원구,145
종로구,성동구,145
도봉구,강남구,145
중랑구,마포구,145
금천구,강남구,145
강동구,성북구,144
도봉구,송파구,143
양천구,금천구,142
용산구,광진구,141
양천구,서대문구,141
서대문구,노원구,140
강북구,영등포구,138
은평구,금천구,138
은평구,서초구,138
송파구,종로구,137
성동구,은평구,136
서초구,강동구,136
은평구,중구,136
금천구,은평구,136
용산구,종로구,135
