출발구,도착구,전입자수
동작구,관악구,2000
관악구,동작구,1872
송파구,강동구,1863
양천구,강서구,1565
강서구,양천구,1435
관악구,금천구,1422
관악구,영등포구,1410
강남구,송파구,1337
서초구,강남구,1310
관악구,송파구,1228
강동구,송파구,1200
서대문구,마포구,1197
관악구,강남구,1176
강남구,서초구,1168
관악구,강서구,1150
동작구,영등포구,1129
송파구,강남구,1093
관악구,구로구,1084
영등포구,강서구,1069
강서구,영등포구,1053
광진구,중랑구,982
서대문구,은평구,966
마포구,서대문구,937
관악구,서초구,921
영등포구,관악구,920
마포구,영등포구,856
강남구,관악구,854
영등포구,구로구,850
금천구,관악구,848
성북구,강북구,840
동대문구,중랑구,827
마포구,은평구,811
강북구,도봉구,795
영등포구,동작구,794
강서구,관악구,785
관악구,광진구,777
구로구,관악구,765
성북구,동대문구,760
구로구,영등포구,743
마포구,강서구,731
광진구,강동구,730
관악구,마포구,726
서초구,관악구,717
구로구,금천구,715
광진구,송파구,704
강북구,성북구,696
영등포구,마포구,696
노원구,중랑구,695
성동구,동대문구,678
동대문구,성북구,677
송파구,관악구,677
서초구,송파구,669
서초구,동작구,669
성동구,광진구,661
관악구,강동구,659
중랑구,노원구,633
금천구,구로구,631
동작구,서초구,626
마포구,관악구,621
강서구,마포구,607
용산구,마포구,607
도봉구,노원구,605
은평구,마포구,603
중랑구,광진구,595
도봉구,강북구,594
성북구,관악구,586
은평구,서대문구,581
관악구,은평구,565
광진구,관악구,565
강남구,성동구,563
구로구,강서구,558
강서구,구로구,557
송파구,광진구,556
중랑구,동대문구,553
성북구,노원구,551
노원구,도봉구,550
강남구,광진구,547
동작구,강서구,541
서대문구,관악구,533
광진구,성동구,527
양천구,영등포구,519
마포구,용산구,519
광진구,동대문구,517
동작구,강남구,513
동대문구,성동구,513
노원구,성북구,509
강서구,송파구,509
광진구,강남구,507
동대문구,관악구,504
관악구,중랑구,499
동작구,송파구,494
영등포구,양천구,482
관악구,양천구,478
동작구,금천구,468
강서구,은평구,468
강남구,동작구,460
마포구,강남구,459
강남구,강동구,457
동대문구,광진구,455
영등포구,금천구,454
은평구,강서구,450
동대문구,송파구,444
서대문구,영등포구,437
영등포구,송파구,435
관악구,성동구,435
금천구,영등포구,433
은평구,관악구,430
영등포구,강남구,429
동작구,구로구,429
관악구,성북구,428
강서구,동작구,421
관악구,서대문구,419
관악구,동대문구,416
성북구,중랑구,414
양천구,구로구,412
종로구,성북구,411
송파구,서초구,411
송파구,영등포구,406
강북구,노원구,406
서대문구,강서구,403
성북구,도봉구,401
강남구,마포구,401
성동구,송파구,400
동대문구,영등포구,399
성동구,강남구,398
강서구,강남구,392
관악구,용산구,387
노원구,관악구,385
동대문구,강동구,384
마포구,송파구,382
양천구,관악구,381
강동구,강남구,374
구로구,양천구,372
용산구,영등포구,372
강동구,광진구,371
송파구,동작구,366
동대문구,노원구,366
성동구,관악구,363
성북구,마포구,361
성북구,종로구,360
용산구,관악구,356
강남구,강서구,355
동작구,마포구,354
구로구,동작구,354
강남구,영등포구,354
송파구,마포구,350
송파구,성동구,348
마포구,동작구,347
동대문구,강남구,347
송파구,강서구,343
중랑구,관악구,343
성북구,송파구,343
강동구,관악구,342
광진구,동작구,342
성북구,강남구,342
노원구,강북구,339
동작구,광진구,338
금천구,강서구,338
은평구,영등포구,337
중랑구,강동구,337
동작구,용산구,335
영등포구,은평구,335
강서구,금천구,334
강남구,동대문구,331
노원구,동대문구,329
송파구,동대문구,327
광진구,영등포구,323
광진구,강서구,323
성동구,강동구,322
용산구,동작구,322
서대문구,강남구,322
