출발구,도착구,전입자수
송파구,강동구,8737
강남구,송파구,7623
양천구,강서구,7557
서초구,강남구,7337
강남구,서초구,7196
송파구,강남구,6929
강서구,양천구,6837
서초구,동작구,6591
강동구,송파구,5271
동작구,관악구,5035
관악구,동작구,4917
서대문구,은평구,4904
강북구,도봉구,3985
서대문구,마포구,3945
성북구,강북구,3847
동작구,서초구,3752
마포구,서대문구,3621
강북구,성북구,3610
동작구,영등포구,3476
도봉구,노원구,3407
마포구,은평구,3386
노원구,도봉구,3238
서초구,관악구,3198
관악구,금천구,3173
도봉구,강북구,3162
광진구,중랑구,3127
서초구,송파구,3111
노원구,성북구,3080
은평구,서대문구,3027
중랑구,노원구,3010
영등포구,강서구,2992
광진구,강동구,2923
노원구,중랑구,2908
강남구,성동구,2842
성북구,노원구,2793
영등포구,구로구,2792
구로구,양천구,2774
동대문구,성북구,2723
용산구,마포구,2687
영등포구,동작구,2683
영등포구,양천구,2653
동대문구,중랑구,2631
관악구,영등포구,2567
광진구,송파구,2548
성동구,광진구,2530
관악구,강서구,2416
성동구,동대문구,2408
송파구,서초구,2386
관악구,서초구,2385
양천구,구로구,2376
성동구,강남구,2337
성북구,동대문구,2333
관악구,구로구,2298
양천구,영등포구,2290
마포구,강서구,2270
구로구,영등포구,2238
송파구,광진구,2224
강서구,영등포구,2125
관악구,송파구,2110
강남구,관악구,2063
은평구,마포구,1986
강남구,강동구,1919
중랑구,광진구,1880
중랑구,동대문구,1873
영등포구,마포구,1870
마포구,용산구,1868
관악구,강남구,1864
강남구,광진구,1850
종로구,성북구,1846
서초구,용산구,1846
마포구,영등포구,1809
영등포구,관악구,1776
강북구,노원구,1751
강남구,동작구,1702
성북구,도봉구,1698
구로구,금천구,1690
금천구,관악구,1686
구로구,강서구,1667
광진구,성동구,1664
강남구,용산구,1654
동작구,강남구,1646
노원구,강북구,1641
용산구,강남구,1625
도봉구,성북구,1585
성동구,송파구,1553
동작구,강서구,1551
강서구,마포구,1544
용산구,서초구,1538
동대문구,성동구,1535
마포구,강남구,1527
동작구,송파구,1521
광진구,동대문구,1518
구로구,관악구,1505
광진구,강남구,1480
서초구,영등포구,1478
금천구,구로구,1477
동대문구,노원구,1466
강동구,강남구,1449
송파구,성동구,1429
강동구,광진구,1415
송파구,관악구,1379
서초구,성동구,1370
성동구,중구,1359
성북구,종로구,1358
은평구,강서구,1336
동대문구,광진구,1326
중랑구,강동구,1325
동작구,구로구,1320
강서구,송파구,1302
종로구,서대문구,1301
관악구,마포구,1300
성동구,서초구,1298
강남구,마포구,1289
강서구,구로구,1285
마포구,양천구,1285
노원구,동대문구,1284
성동구,강동구,1277
동대문구,강동구,1275
중구,성동구,1266
관악구,양천구,1246
성동구,중랑구,1244
강서구,관악구,1239
서초구,마포구,1237
강남구,영등포구,1233
영등포구,금천구,1230
성북구,중랑구,1229
영등포구,강남구,1221
노원구,송파구,1221
관악구,강동구,1189
마포구,송파구,1170
강서구,은평구,1169
마포구,서초구,1166
성동구,성북구,1165
중랑구,성북구,1164
서대문구,종로구,1153
종로구,은평구,1137
서대문구,강서구,1134
성북구,송파구,1122
동작구,금천구,1117
영등포구,서초구,1112
송파구,동작구,1110
용산구,동작구,1105
영등포구,송파구,1099
노원구,강동구,1096
동작구,마포구,1088
강남구,강서구,1084
양천구,마포구,1081
중랑구,송파구,1080
마포구,관악구,1074
동대문구,송파구,1065
송파구,강서구,1061
강서구,강남구,1053
관악구,광진구,1051
양천구,강남구,1050
구로구,동작구,1049
송파구,마포구,1048
관악구,은평구,1044
서초구,강서구,1039
용산구,성동구,1037
송파구,동대문구,1034
송파구,중랑구,1032
동작구,양천구,1029
서초구,강동구,1025
강남구,성북구,1018
송파구,영등포구,1012
