출발구,도착구,전입자수
동작구,관악구,1955
관악구,동작구,1850
양천구,강서구,1473
송파구,강동구,1444
관악구,영등포구,1356
강서구,양천구,1326
강남구,송파구,1311
관악구,금천구,1307
서초구,강남구,1289
강남구,서초구,1211
영등포구,강서구,1181
서대문구,마포구,1170
관악구,강서구,1161
강동구,송파구,1126
관악구,구로구,1107
마포구,서대문구,1083
관악구,송파구,1040
광진구,중랑구,1033
강남구,관악구,990
송파구,강남구,949
동작구,영등포구,948
서대문구,은평구,938
영등포구,관악구,935
영등포구,구로구,907
관악구,강남구,897
마포구,은평구,868
성북구,강북구,865
관악구,서초구,843
금천구,관악구,831
동대문구,중랑구,796
서초구,관악구,779
강서구,영등포구,773
구로구,관악구,769
강북구,도봉구,764
강서구,관악구,764
관악구,광진구,760
도봉구,강북구,760
송파구,관악구,749
마포구,강서구,745
마포구,관악구,743
관악구,마포구,735
노원구,중랑구,730
광진구,송파구,729
마포구,영등포구,725
성동구,동대문구,724
성북구,동대문구,722
은평구,서대문구,720
성동구,광진구,720
서초구,동작구,712
영등포구,동작구,704
광진구,관악구,704
강북구,성북구,695
동대문구,성북구,677
구로구,영등포구,651
금천구,구로구,636
광진구,성동구,632
서초구,송파구,626
영등포구,마포구,607
중랑구,노원구,602
강남구,광진구,593
마포구,용산구,592
서대문구,관악구,588
구로구,금천구,587
성북구,관악구,584
중랑구,광진구,582
관악구,은평구,580
동작구,강서구,569
강남구,성동구,567
강서구,마포구,566
송파구,광진구,565
동대문구,관악구,564
용산구,마포구,563
동작구,서초구,560
은평구,마포구,560
성북구,노원구,556
노원구,도봉구,555
광진구,강동구,550
도봉구,노원구,542
강서구,구로구,540
강남구,동작구,522
구로구,강서구,520
동작구,구로구,516
영등포구,양천구,508
관악구,양천구,502
은평구,관악구,501
관악구,중랑구,495
광진구,동대문구,488
종로구,성북구,482
노원구,성북구,475
중랑구,동대문구,472
동작구,송파구,471
동대문구,광진구,463
서대문구,강서구,455
관악구,성북구,451
관악구,강동구,439
양천구,영등포구,438
강남구,마포구,437
동작구,강남구,437
광진구,강남구,434
관악구,서대문구,429
관악구,용산구,428
은평구,강서구,428
동대문구,성동구,426
서대문구,영등포구,426
강남구,용산구,424
노원구,관악구,424
강서구,은평구,421
관악구,성동구,418
강남구,영등포구,415
양천구,구로구,415
송파구,강서구,413
강동구,광진구,408
성동구,강남구,407
송파구,서초구,406
동작구,마포구,404
강동구,관악구,404
성북구,중랑구,402
마포구,강남구,397
관악구,동대문구,394
강서구,송파구,391
성동구,관악구,391
동작구,금천구,389
동대문구,송파구,389
송파구,영등포구,388
송파구,마포구,385
송파구,중랑구,383
영등포구,송파구,383
영등포구,금천구,380
동작구,광진구,378
금천구,강서구,374
양천구,관악구,371
성북구,도봉구,371
강서구,동작구,371
성동구,송파구,370
동대문구,노원구,366
강북구,노원구,363
마포구,송파구,362
성동구,중랑구,362
성북구,마포구,362
광진구,강서구,360
노원구,강북구,355
성북구,종로구,355
금천구,영등포구,351
성북구,송파구,349
구로구,양천구,347
광진구,동작구,344
성북구,광진구,343
영등포구,강남구,340
용산구,관악구,338
성북구,강서구,335
강남구,강동구,331
송파구,동작구,330
동대문구,영등포구,330
동대문구,강서구,329
마포구,구로구,329
강남구,강서구,328
강동구,중랑구,325
영등포구,서대문구,323
송파구,동대문구,322
마포구,동작구,321
동작구,용산구,321
노원구,광진구,320
강남구,동대문구,320
용산구,영등포구,319
송파구,성동구,319
마포구,서초구,318
서초구,영등포구,318
강서구,강남구,314
광진구,노원구,312
관악구,노원구,309
서초구,마포구,309
강서구,서대문구,307
영등포구,은평구,307
마포구,양천구,307
광진구,영등포구,306
강북구,관악구,304
중랑구,성북구,304
서초구,용산구,300
영등포구,용산구,299
구로구,동작구,299
노원구,동대문구,297
중랑구,관악구,297
동대문구,강남구,296
광진구,마포구,295
도봉구,성북구,293
성북구,영등포구,289
동대문구,마포구,288
마포구,광진구,287
은평구,영등포구,286
동작구,중랑구,285
서대문구,강남구,285
금천구,동작구,285
서초구,광진구,284
강서구,금천구,284
성동구,중구,281
성북구,동작구,276
