출발구,도착구,전입자수
관악구,동작구,2148
동작구,관악구,1916
강남구,송파구,1750
송파구,강동구,1616
양천구,강서구,1560
서초구,강남구,1537
강서구,양천구,1502
강남구,서초구,1429
관악구,영등포구,1334
관악구,구로구,1236
관악구,강서구,1205
관악구,금천구,1202
관악구,송파구,1186
영등포구,강서구,1162
강동구,송파구,1135
서대문구,마포구,1100
마포구,서대문구,1086
송파구,강남구,1058
서대문구,은평구,1047
관악구,강남구,997
동작구,영등포구,971
광진구,송파구,929
강남구,관악구,926
성북구,강북구,903
관악구,서초구,899
동대문구,성북구,874
강북구,성북구,862
마포구,강서구,855
마포구,은평구,841
영등포구,구로구,836
영등포구,관악구,828
강북구,도봉구,824
성동구,광진구,816
구로구,관악구,814
마포구,영등포구,802
서초구,관악구,799
성동구,동대문구,786
광진구,중랑구,785
서초구,송파구,771
관악구,광진구,769
강서구,영등포구,762
서초구,동작구,747
노원구,중랑구,741
동대문구,중랑구,740
관악구,마포구,740
금천구,관악구,728
영등포구,동작구,725
은평구,서대문구,720
도봉구,강북구,690
강서구,관악구,684
동작구,서초구,674
광진구,강동구,657
강남구,성동구,656
구로구,영등포구,651
송파구,광진구,650
성북구,동대문구,642
마포구,관악구,640
노원구,성북구,637
중랑구,노원구,633
영등포구,마포구,628
노원구,도봉구,627
은평구,마포구,617
도봉구,노원구,613
구로구,금천구,606
금천구,구로구,606
송파구,관악구,603
강남구,광진구,596
광진구,관악구,593
성동구,송파구,558
강서구,마포구,556
마포구,용산구,550
광진구,성동구,546
중랑구,광진구,545
종로구,성북구,540
동작구,강서구,538
용산구,마포구,538
강서구,구로구,534
광진구,강남구,529
관악구,은평구,528
서대문구,관악구,524
성북구,관악구,521
강남구,동작구,518
성북구,노원구,512
동대문구,관악구,510
광진구,동대문구,502
동작구,송파구,495
성동구,강남구,491
동대문구,광진구,484
중랑구,동대문구,484
송파구,서초구,478
구로구,강서구,471
양천구,영등포구,466
양천구,구로구,463
관악구,양천구,457
영등포구,양천구,456
관악구,강동구,454
동작구,구로구,445
마포구,강남구,444
도봉구,성북구,442
동대문구,성동구,440
동작구,강남구,440
은평구,강서구,439
마포구,송파구,436
강남구,마포구,435
관악구,성북구,428
노원구,강북구,423
강북구,노원구,421
강남구,강동구,413
서대문구,강서구,409
강서구,은평구,408
관악구,용산구,407
서대문구,영등포구,403
강남구,강서구,402
강서구,송파구,402
동대문구,송파구,399
영등포구,송파구,399
은평구,관악구,389
강남구,영등포구,389
송파구,성동구,382
관악구,동대문구,377
관악구,성동구,375
영등포구,금천구,374
관악구,서대문구,373
노원구,관악구,372
구로구,양천구,371
동작구,마포구,370
강남구,용산구,366
성동구,중구,365
동대문구,노원구,360
성북구,도봉구,355
강서구,동작구,355
영등포구,강남구,353
노원구,광진구,350
송파구,마포구,346
성북구,마포구,345
금천구,영등포구,342
관악구,중랑구,341
마포구,동작구,341
송파구,영등포구,340
성동구,관악구,340
송파구,강서구,339
송파구,동작구,335
양천구,관악구,334
성북구,은평구,332
마포구,서초구,332
영등포구,은평구,330
성북구,송파구,329
강동구,광진구,329
구로구,동작구,328
중구,성동구,328
용산구,관악구,325
서초구,마포구,322
노원구,송파구,322
동작구,금천구,320
성북구,강남구,320
송파구,동대문구,318
노원구,동대문구,315
광진구,동작구,312
서초구,성동구,311
성북구,중랑구,309
동작구,광진구,309
강서구,강남구,309
마포구,구로구,307
동대문구,강남구,305
동작구,용산구,304
중랑구,관악구,303
성동구,중랑구,299
중랑구,송파구,298
서초구,영등포구,298
강북구,관악구,297
동대문구,영등포구,297
서초구,용산구,293
성동구,성북구,293
종로구,서대문구,293
마포구,양천구,291
동대문구,강서구,291
중랑구,성북구,290
성북구,광진구,288
금천구,강서구,287
중랑구,강동구,285
강남구,성북구,284
강동구,관악구,284
강남구,동대문구,283
광진구,영등포구,283
광진구,노원구,282
양천구,마포구,280
용산구,강남구,280
구로구,마포구,280
용산구,동작구,279
광진구,강서구,279
성북구,종로구,278
동작구,은평구,278
성동구,서초구,277
성북구,동작구,277
영등포구,서대문구,276
성동구,마포구,276
광진구,성북구,275
서초구,광진구,274
종로구,관악구,273
강서구,서대문구,272
영등포구,용산구,271
성북구,영등포구,271
노원구,강남구,270
마포구,성동구,269
성동구,강동구,269
동대문구,동작구,268
동대문구,마포구,266
서대문구,강남구,264
용산구,서초구,263
동대문구,강동구,263
강동구,강남구,262
종로구,은평구,259
광진구,서초구,258
노원구,동작구,258
관악구,노원구,256
노원구,강서구,255
서대문구,송파구,254
송파구,중랑구,254
동작구,양천구,254
동대문구,강북구,254
강동구,동대문구,254
송파구,성북구,253
용산구,은평구,251
동대문구,은평구,250
광진구,마포구,250
동작구,성북구,249
금천구,동작구,249
성동구,동작구,248
용산구,송파구,248
성북구,강서구,248
성북구,성동구,247
송파구,용산구,247
용산구,성동구,247
은평구,송파구,247
마포구,성북구,245
용산구,영등포구,245
서초구,강서구,244
성동구,영등포구,243
은평구,영등포구,242
영등포구,서초구,241
중구,성북구,239
강서구,서초구,234
구로구,송파구,234
마포구,광진구,234
영등포구,성동구,233
마포구,동대문구,232
강서구,금천구,231
양천구,송파구,230
강남구,서대문구,230
은평구,성북구,229
구로구,강남구,229
동작구,강동구,226
광진구,은평구,226
성동구,용산구,224
강북구,동대문구,221
종로구,동대문구,219
성북구,서대문구,218
성북구,중구,218
중랑구,강북구,217
종로구,마포구,217
강동구,강서구,217
강북구,중랑구,216
강남구,중랑구,216
서대문구,용산구,216
중구,마포구,216
동작구,중랑구,214
영등포구,광진구,213
중랑구,강서구,213
노원구,영등포구,212
중랑구,강남구,212
서대문구,동작구,212
구로구,은평구,211
관악구,강북구,210
노원구,강동구,208
용산구,성북구,208
강서구,강동구,207
동작구,동대문구,207
송파구,서대문구,207
송파구,노원구,207
강서구,광진구,206
노원구,마포구,205
은평구,구로구,204
중구,동대문구,204
송파구,은평구,204
서대문구,종로구,203
도봉구,중랑구,203
성북구,서초구,202
성동구,강서구,201
영등포구,성북구,201
영등포구,동대문구,201
성북구,용산구,200
용산구,서대문구,199
강남구,은평구,198
서초구,성북구,195
강동구,중랑구,194
강남구,중구,192
노원구,성동구,191
관악구,종로구,191
종로구,중구,191
도봉구,관악구,190
강남구,노원구,190
강서구,성동구,190
노원구,은평구,189
은평구,강남구,189
동대문구,중구,189
용산구,강서구,189
서대문구,성북구,187
동작구,성동구,187
중랑구,도봉구,186
성북구,구로구,186
중랑구,성동구,185
중구,용산구,185
강서구,성북구,184
종로구,용산구,184
성북구,강동구,184
서대문구,서초구,183
은평구,동작구,182
마포구,중구,181
동대문구,도봉구,180
강서구,동대문구,180
강북구,은평구,179
은평구,광진구,177
서대문구,성동구,177
서초구,강동구,177
서초구,서대문구,177
강북구,광진구,177
종로구,강남구,176
양천구,강남구,176
서대문구,구로구,176
광진구,구로구,175
강동구,성동구,175
서대문구,양천구,175
종로구,송파구,174
중구,송파구,174
동작구,서대문구,172
강북구,강서구,171
영등포구,강동구,170
강북구,송파구,170
양천구,동작구,170
도봉구,동대문구,170
강서구,용산구,169
동대문구,구로구,169
서대문구,광진구,169
양천구,성북구,167
종로구,영등포구,167
서대문구,동대문구,167
마포구,강동구,166
중구,강남구,165
동대문구,종로구,164
용산구,광진구,164
은평구,동대문구,163
은평구,서초구,163
용산구,중구,163
동대문구,서대문구,162
동대문구,서초구,162
동대문구,용산구,161
강동구,동작구,161
강서구,노원구,160
송파구,구로구,160
관악구,도봉구,159
관악구,중구,158
중구,관악구,158
마포구,금천구,158
서초구,동대문구,157
송파구,양천구,157
동작구,노원구,156
노원구,구로구,156
양천구,서초구,155
성동구,은평구,155
중구,광진구,154
중랑구,영등포구,154
구로구,서초구,154
중랑구,은평구,152
구로구,서대문구,151
광진구,서대문구,151
양천구,은평구,151
도봉구,강남구,150
도봉구,강서구,150
서초구,구로구,150
종로구,성동구,150
강동구,마포구,148
강남구,종로구,148
강북구,강남구,148
서초구,은평구,148
중랑구,마포구,147
강남구,구로구,147
중랑구,동작구,146
강동구,성북구,146
마포구,종로구,145
도봉구,송파구,145
성동구,서대문구,145
은평구,용산구,145
광진구,용산구,144
종로구,강서구,144
양천구,서대문구,143
광진구,강북구,143
강동구,영등포구,142
용산구,동대문구,142
강북구,동작구,142
노원구,서초구,142
강남구,양천구,141
서초구,중구,141
강서구,중랑구,140
중구,영등포구,140
은평구,노원구,137
금천구,송파구,137
마포구,노원구,136
서초구,양천구,136
성동구,노원구,136
용산구,종로구,134
은평구,강동구,133
동작구,중구,133
중구,서대문구,133
성동구,강북구,133
구로구,성북구,133
은평구,종로구,131
광진구,중구,131
금천구,양천구,131
은평구,강북구,130
도봉구,은평구,130
성북구,양천구,129
강북구,마포구,129
강동구,서초구,129
노원구,서대문구,129
은평구,성동구,129
강동구,노원구,128
도봉구,동작구,128
송파구,중구,127
종로구,광진구,127
종로구,서초구,126
종로구,강북구,125
금천구,마포구,124
금천구,은평구,124
마포구,중랑구,124
구로구,광진구,123
영등포구,노원구,122
구로구,용산구,122
강북구,성동구,122
서대문구,중랑구,122
중랑구,구로구,122
종로구,동작구,121
광진구,양천구,121
양천구,금천구,120
구로구,강동구,119
도봉구,광진구,118
강북구,영등포구,118
송파구,도봉구,118
성동구,종로구,118
영등포구,종로구,117
중구,은평구,117
은평구,양천구,117
금천구,강남구,117
도봉구,강동구,116
노원구,종로구,116
광진구,도봉구,116
중구,서초구,113
서초구,종로구,112
광진구,금천구,112
양천구,동대문구,111
영등포구,중랑구,111
서대문구,강동구,111
송파구,종로구,109
송파구,금천구,108
용산구,구로구,108
양천구,노원구,107
은평구,중구,107
마포구,강북구,107
용산구,강동구,106
영등포구,중구,105
송파구,강북구,105
구로구,동대문구,105
양천구,강동구,104
금천구,서초구,104
금천구,광진구,103
양천구,용산구,103
은평구,중랑구,103
강북구,구로구,103
도봉구,마포구,103
중구,동작구,103
성동구,구로구,102
도봉구,서대문구,102
서대문구,중구,102
강동구,서대문구,101
동작구,강북구,100
노원구,중구,100
도봉구,영등포구,99
중랑구,금천구,99
서초구,중랑구,99
강동구,은평구,98
도봉구,성동구,98
강남구,금천구,97
서초구,금천구,97
양천구,성동구,97
용산구,양천구,96
중랑구,서대문구,96
동대문구,양천구,95
서대문구,금천구,95
노원구,용산구,95
강서구,종로구,94
강북구,용산구,94
강북구,종로구,93
강동구,구로구,92
은평구,금천구,92
동대문구,금천구,92
강동구,용산구,92
강북구,서대문구,92
동작구,종로구,91
서초구,노원구,90
서대문구,강북구,89
중구,노원구,89
중구,종로구,89
양천구,광진구,89
용산구,노원구,88
노원구,양천구,88
강서구,도봉구,88
서대문구,노원구,87
종로구,노원구,87
마포구,도봉구,87
은평구,도봉구,87
구로구,성동구,87
중구,강서구,87
강남구,강북구,87
중구,강북구,85
구로구,노원구,85
강서구,강북구,84
강북구,강동구,84
성동구,양천구,83
중랑구,서초구,82
구로구,중랑구,82
동작구,도봉구,82
강서구,중구,82
도봉구,구로구,81
종로구,도봉구,81
종로구,강동구,80
성동구,도봉구,80
중랑구,용산구,80
노원구,금천구,79
강남구,도봉구,79
강북구,양천구,79
강북구,금천구,78
성북구,금천구,78
도봉구,서초구,77
금천구,서대문구,77
중랑구,중구,77
금천구,동대문구,74
용산구,중랑구,74
금천구,중랑구,74
영등포구,도봉구,74
중랑구,양천구,73
용산구,강북구,73
용산구,금천구,72
강북구,서초구,72
강북구,중구,71
서대문구,도봉구,69
영등포구,강북구,69
성동구,금천구,69
강동구,양천구,68
광진구,종로구,67
양천구,종로구,66
