출발구,도착구,전입자수
동작구,성동구,250
노원구,마포구,250
송파구,노원구,249
강서구,성북구,249
중랑구,강남구,249
용산구,송파구,249
중랑구,강서구,248
강남구,중랑구,248
성북구,서초구,246
영등포구,광진구,246
영등포구,성북구,246
도봉구,관악구,245
중구,동대문구,245
용산구,성북구,245
서대문구,용산구,245
강서구,서초구,245
동대문구,도봉구,245
종로구,서대문구,243
동작구,성북구,242
구로구,마포구,242
강서구,노원구,242
은평구,강남구,240
양천구,강남구,239
송파구,서대문구,238
동대문구,서초구,237
동대문구,중구,235
성북구,용산구,235
은평구,동대문구,234
동작구,서대문구,233
성북구,서대문구,232
성동구,강서구,231
노원구,영등포구,231
강동구,동작구,231
송파구,용산구,230
종로구,마포구,230
강남구,성북구,229
중랑구,성동구,228
양천구,동작구,228
은평구,동작구,228
은평구,성북구,227
강북구,동대문구,222
강동구,영등포구,222
강서구,중랑구,222
서대문구,서초구,222
용산구,은평구,221
구로구,강남구,220
강동구,노원구,218
동대문구,종로구,218
양천구,송파구,218
성동구,용산구,217
강서구,성동구,216
중랑구,강북구,216
종로구,은평구,216
종로구,중구,216
동작구,노원구,215
관악구,중구,215
서대문구,성동구,215
중랑구,도봉구,213
성동구,동작구,213
노원구,성동구,213
중구,용산구,213
종로구,관악구,213
서초구,동대문구,212
강남구,구로구,212
종로구,강남구,210
서대문구,종로구,209
중랑구,동작구,208
광진구,은평구,207
중구,영등포구,205
구로구,은평구,204
양천구,은평구,204
광진구,구로구,202
서초구,서대문구,201
중구,관악구,200
관악구,도봉구,200
은평구,구로구,198
성북구,구로구,197
중랑구,영등포구,197
종로구,영등포구,196
강동구,마포구,196
도봉구,동대문구,195
강남구,노원구,195
구로구,강동구,195
서대문구,동대문구,194
동대문구,구로구,194
강북구,광진구,194
강남구,은평구,193
서대문구,광진구,193
송파구,은평구,190
서초구,성북구,190
금천구,송파구,189
송파구,구로구,189
은평구,강동구,188
성동구,노원구,187
은평구,광진구,186
동대문구,서대문구,186
강남구,중구,185
강북구,강서구,184
영등포구,중구,183
마포구,금천구,182
마포구,노원구,182
서대문구,양천구,182
은평구,금천구,181
금천구,마포구,181
영등포구,노원구,180
용산구,동대문구,180
서대문구,강동구,180
용산구,광진구,180
금천구,강남구,178
중구,종로구,178
동대문구,용산구,178
광진구,서대문구,177
서대문구,구로구,177
노원구,은평구,177
강남구,양천구,176
중랑구,은평구,175
성동구,서대문구,175
광진구,중구,174
중랑구,마포구,173
중구,강남구,171
강북구,영등포구,170
영등포구,중랑구,169
은평구,노원구,169
마포구,종로구,168
강남구,종로구,167
종로구,성동구,166
광진구,용산구,166
은평구,중랑구,166
서초구,구로구,165
양천구,서초구,164
노원구,서대문구,164
은평구,성동구,164
종로구,송파구,163
서대문구,중구,162
금천구,양천구,162
성북구,양천구,161
광진구,강북구,161
은평구,양천구,161
마포구,중랑구,160
서초구,중구,160
송파구,중구,160
강동구,성북구,159
강북구,송파구,159
구로구,성북구,159
성동구,은평구,159
송파구,양천구,157
금천구,강동구,157
