출발구,도착구,전입자수
양천구,강서구,2002
서초구,강남구,1755
강남구,서초구,1738
동작구,관악구,1701
관악구,동작구,1700
강서구,양천구,1686
송파구,강남구,1629
강남구,송파구,1436
송파구,강동구,1398
강동구,송파구,1331
서대문구,마포구,1137
관악구,강남구,1107
영등포구,강서구,1091
서대문구,은평구,1049
성북구,강북구,1045
관악구,구로구,1027
강북구,도봉구,940
광진구,중랑구,937
관악구,영등포구,932
노원구,중랑구,925
마포구,서대문구,923
관악구,서초구,916
관악구,강서구,903
동대문구,중랑구,885
서초구,동작구,853
영등포구,구로구,822
도봉구,노원구,821
강북구,성북구,818
마포구,은평구,812
동작구,영등포구,801
은평구,서대문구,795
강남구,관악구,792
관악구,송파구,789
중랑구,노원구,789
마포구,강서구,783
도봉구,강북구,781
동작구,서초구,780
광진구,송파구,778
구로구,영등포구,768
관악구,금천구,753
노원구,도봉구,749
강남구,성동구,734
성북구,노원구,727
구로구,관악구,709
성동구,광진구,702
광진구,강남구,700
성북구,동대문구,700
영등포구,관악구,683
구로구,강서구,681
관악구,마포구,665
동대문구,성북구,664
금천구,관악구,655
중랑구,광진구,635
영등포구,동작구,635
은평구,마포구,629
용산구,마포구,625
성동구,동대문구,609
송파구,광진구,609
서초구,관악구,608
광진구,성동구,599
마포구,영등포구,598
동작구,강남구,595
서초구,송파구,582
영등포구,마포구,581
강서구,영등포구,581
성동구,강남구,572
동작구,강서구,566
송파구,서초구,562
노원구,성북구,557
구로구,양천구,553
양천구,구로구,552
송파구,관악구,548
금천구,구로구,542
마포구,관악구,537
관악구,광진구,528
강남구,동작구,525
중랑구,동대문구,524
강북구,노원구,517
강동구,강남구,515
광진구,동대문구,515
종로구,성북구,514
광진구,강동구,511
영등포구,양천구,508
강서구,마포구,505
성북구,도봉구,503
강남구,마포구,496
강남구,광진구,492
동작구,구로구,482
광진구,관악구,480
동대문구,광진구,478
마포구,용산구,466
강동구,광진구,463
은평구,강서구,462
관악구,양천구,459
구로구,금천구,454
동대문구,성동구,450
동대문구,노원구,443
강서구,관악구,441
양천구,영등포구,438
노원구,강북구,432
성북구,마포구,422
성동구,송파구,420
마포구,강남구,419
성북구,관악구,418
관악구,은평구,417
강서구,구로구,413
