출발구,도착구,전입자수
송파구,강동구,9558
송파구,강남구,6944
서초구,강남구,6620
강남구,송파구,5595
강서구,양천구,5570
양천구,강서구,5551
강남구,서초구,5354
강동구,송파구,4392
관악구,동작구,4217
동작구,관악구,4213
서대문구,은평구,3580
동작구,서초구,3428
강북구,도봉구,3351
성북구,강북구,3342
서초구,동작구,3093
동작구,영등포구,3019
서대문구,마포구,2948
강북구,성북구,2905
마포구,서대문구,2859
은평구,서대문구,2740
광진구,강동구,2728
관악구,금천구,2693
영등포구,양천구,2640
성동구,강남구,2631
영등포구,구로구,2620
영등포구,동작구,2580
동대문구,중랑구,2525
광진구,중랑구,2513
노원구,도봉구,2506
도봉구,노원구,2452
중랑구,노원구,2445
강남구,강동구,2413
마포구,은평구,2370
관악구,영등포구,2305
도봉구,강북구,2267
영등포구,강서구,2261
광진구,송파구,2251
용산구,마포구,2230
성북구,노원구,2198
동대문구,성북구,2195
노원구,중랑구,2166
강서구,영등포구,2125
양천구,영등포구,2123
성동구,동대문구,2113
강남구,성동구,2088
구로구,양천구,2082
성북구,동대문구,2074
관악구,강남구,2069
관악구,서초구,2037
노원구,성북구,2021
성동구,광진구,2014
관악구,구로구,1992
양천구,구로구,1974
관악구,송파구,1966
구로구,영등포구,1935
서초구,송파구,1913
은평구,마포구,1900
동작구,강남구,1854
서초구,관악구,1785
마포구,영등포구,1762
금천구,관악구,1757
관악구,강서구,1757
송파구,서초구,1745
중랑구,동대문구,1714
강동구,강남구,1679
마포구,강남구,1671
영등포구,관악구,1653
영등포구,마포구,1640
강남구,관악구,1634
광진구,강남구,1624
마포구,용산구,1612
용산구,강남구,1601
마포구,강서구,1592
송파구,광진구,1586
성동구,송파구,1573
중랑구,광진구,1549
강남구,광진구,1539
종로구,성북구,1522
용산구,서초구,1469
영등포구,강남구,1453
동대문구,강동구,1418
강서구,마포구,1413
강북구,노원구,1413
금천구,구로구,1403
동대문구,성동구,1403
성북구,도봉구,1387
구로구,관악구,1381
광진구,동대문구,1376
구로구,금천구,1374
성동구,강동구,1362
관악구,강동구,1358
강서구,구로구,1350
강남구,동작구,1339
구로구,강서구,1316
