출발구,도착구,전입자수
양천구,강서구,12188
송파구,강남구,9867
서초구,강남구,8285
강남구,서초구,8273
강서구,양천구,7971
성북구,강북구,6274
강남구,송파구,6014
송파구,강동구,5912
강동구,송파구,5805
서대문구,은평구,5499
관악구,동작구,5370
동작구,관악구,5181
강북구,도봉구,4960
동작구,서초구,4950
노원구,중랑구,4784
서초구,동작구,4746
도봉구,노원구,4408
강북구,성북구,4254
은평구,서대문구,4221
영등포구,강서구,4220
노원구,도봉구,4107
도봉구,강북구,4087
서대문구,마포구,3972
중랑구,노원구,3831
동대문구,중랑구,3691
마포구,서대문구,3638
광진구,중랑구,3563
성북구,노원구,3538
관악구,서초구,3527
구로구,양천구,3498
양천구,구로구,3390
마포구,은평구,3309
동작구,영등포구,3279
영등포구,구로구,3274
영등포구,동작구,3083
마포구,강서구,3032
성동구,동대문구,3029
영등포구,양천구,3019
노원구,성북구,2918
강남구,성동구,2825
용산구,마포구,2790
성동구,강남구,2781
성북구,동대문구,2780
구로구,강서구,2765
성동구,광진구,2727
관악구,강남구,2688
종로구,성북구,2677
중랑구,동대문구,2674
동대문구,성북구,2672
구로구,영등포구,2646
서초구,관악구,2629
관악구,구로구,2598
광진구,송파구,2575
관악구,금천구,2568
광진구,성동구,2473
관악구,강서구,2393
송파구,서초구,2384
광진구,강남구,2372
은평구,마포구,2346
중랑구,광진구,2274
강북구,노원구,2274
성북구,도봉구,2250
강동구,강남구,2238
양천구,영등포구,2218
금천구,관악구,2205
관악구,영등포구,2144
동작구,강남구,2125
송파구,광진구,2102
노원구,강북구,2086
동대문구,성동구,2048
광진구,동대문구,2046
서초구,송파구,1989
동대문구,노원구,1967
영등포구,마포구,1951
영등포구,관악구,1941
마포구,용산구,1917
강남구,관악구,1915
성북구,종로구,1902
동작구,강서구,1879
성북구,중랑구,1830
광진구,강동구,1824
중구,성동구,1771
강남구,동작구,1770
노원구,동대문구,1769
은평구,강서구,1757
종로구,서대문구,1754
강남구,광진구,1750
금천구,구로구,1749
구로구,관악구,1727
강서구,영등포구,1718
도봉구,성북구,1714
용산구,강남구,1711
관악구,송파구,1707
강동구,광진구,1685
용산구,서초구,1640
동대문구,광진구,1558
강남구,용산구,1556
마포구,영등포구,1524
강서구,구로구,1494
강서구,마포구,1487
성동구,송파구,1484
동작구,구로구,1480
영등포구,서초구,1469
강남구,마포구,1427
구로구,금천구,1425
종로구,은평구,1425
송파구,성동구,1402
성동구,중랑구,1379
강남구,강동구,1379
서초구,용산구,1376
성북구,강남구,1354
마포구,강남구,1351
노원구,강남구,1347
성동구,중구,1344
양천구,마포구,1338
양천구,강남구,1336
성동구,서초구,1332
마포구,양천구,1323
관악구,마포구,1289
관악구,양천구,1286
서대문구,강서구,1286
서대문구,종로구,1266
송파구,관악구,1231
노원구,송파구,1229
영등포구,강남구,1223
동작구,송파구,1198
송파구,강서구,1189
동대문구,강남구,1181
강서구,강남구,1180
성북구,마포구,1179
성북구,은평구,1178
광진구,노원구,1176
구로구,동작구,1163
서초구,성동구,1137
서초구,마포구,1137
마포구,서초구,1127
강남구,강서구,1110
성북구,성동구,1105
도봉구,중랑구,1103
강동구,중랑구,1057
동작구,마포구,1057
양천구,서초구,1047
서초구,영등포구,1046
용산구,동작구,1045
강서구,관악구,1045
송파구,동대문구,1042
성북구,송파구,1032
강동구,서초구,1025
중구,마포구,1009
송파구,마포구,1007
마포구,관악구,1004
구로구,마포구,1003
강서구,서초구,1001
은평구,강남구,997
송파구,중랑구,996
서초구,강서구,980
강남구,영등포구,979
강남구,동대문구,975
성북구,강서구,972
영등포구,금천구,969
성북구,서초구,960
중구,강남구,960
노원구,광진구,953
동대문구,송파구,952
용산구,은평구,949
성동구,성북구,936
강북구,중랑구,931
은평구,종로구,928
광진구,서초구,922
용산구,강서구,922
영등포구,송파구,916
중랑구,강남구,911
중랑구,성북구,909
송파구,동작구,908
마포구,송파구,908
중랑구,송파구,898
송파구,노원구,890
마포구,구로구,888
강남구,성북구,886
동작구,양천구,879
동작구,용산구,879
서대문구,강남구,876
관악구,은평구,876
강서구,송파구,864
중구,용산구,862
관악구,광진구,860
강서구,은평구,859
양천구,관악구,856
강남구,중구,845
성북구,광진구,834
노원구,서초구,832
동대문구,강북구,832
구로구,강남구,831
종로구,동대문구,828
광진구,관악구,825
성동구,노원구,824
용산구,영등포구,822
강동구,동대문구,817
중랑구,성동구,816
금천구,강서구,815
강서구,동작구,813
금천구,영등포구,809
강남구,노원구,808
강북구,동대문구,808
노원구,강서구,806
광진구,강서구,806
강남구,은평구,798
송파구,영등포구,795
은평구,송파구,793
종로구,마포구,791
용산구,중구,785
은평구,성북구,784
중랑구,도봉구,784
성동구,강동구,779
성동구,마포구,774
관악구,용산구,772
관악구,강동구,771
성북구,관악구,770
관악구,성북구,770
동대문구,강동구,769
송파구,성북구,769
노원구,성동구,768
동작구,금천구,765
용산구,성동구,765
강남구,중랑구,764
노원구,마포구,761
은평구,관악구,756
중랑구,강동구,754
강동구,강서구,747
강동구,노원구,747
성동구,강서구,746
성동구,용산구,743
영등포구,용산구,740
성북구,서대문구,735
은평구,서초구,732
구로구,서초구,725
마포구,성북구,720
영등포구,은평구,719
양천구,동작구,717
마포구,동작구,711
노원구,강동구,709
종로구,강남구,703
동대문구,도봉구,700
